State,Year,Quarter,Pincode,Count,Amount
Andaman & Nicobar,2018,1,744101,1622,1622
Andaman & Nicobar,2018,1,744103,1223,1223
Andaman & Nicobar,2018,1,744102,969,969
Andaman & Nicobar,2018,1,744105,685,685
Andaman & Nicobar,2018,1,744104,340,340
Andaman & Nicobar,2018,1,744107,302,302
Andaman & Nicobar,2018,1,744301,283,283
Andaman & Nicobar,2018,1,744112,269,269
Andaman & Nicobar,2018,1,744202,193,193
Andaman & Nicobar,2018,1,744302,168,168
Andaman & Nicobar,2018,2,744101,2701,2701
Andaman & Nicobar,2018,2,744103,1965,1965
Andaman & Nicobar,2018,2,744102,1525,1525
Andaman & Nicobar,2018,2,744105,997,997
Andaman & Nicobar,2018,2,744301,767,767
Andaman & Nicobar,2018,2,744104,659,659
Andaman & Nicobar,2018,2,744107,594,594
Andaman & Nicobar,2018,2,744112,432,432
Andaman & Nicobar,2018,2,744202,405,405
Andaman & Nicobar,2018,2,744302,291,291
Andaman & Nicobar,2018,3,744101,3462,3462
Andaman & Nicobar,2018,3,744103,3182,3182
Andaman & Nicobar,2018,3,744102,2224,2224
Andaman & Nicobar,2018,3,744105,1613,1613
Andaman & Nicobar,2018,3,744104,1029,1029
Andaman & Nicobar,2018,3,744301,975,975
Andaman & Nicobar,2018,3,744112,579,579
Andaman & Nicobar,2018,3,744107,547,547
Andaman & Nicobar,2018,3,744302,417,417
Andaman & Nicobar,2018,3,744202,341,341
Andaman & Nicobar,2018,4,744101,4674,4674
Andaman & Nicobar,2018,4,744103,4576,4576
Andaman & Nicobar,2018,4,744102,3306,3306
Andaman & Nicobar,2018,4,744105,2513,2513
Andaman & Nicobar,2018,4,744104,1432,1432
Andaman & Nicobar,2018,4,744211,1225,1225
Andaman & Nicobar,2018,4,744301,928,928
Andaman & Nicobar,2018,4,744112,759,759
Andaman & Nicobar,2018,4,744107,747,747
Andaman & Nicobar,2018,4,744202,702,702
Andaman & Nicobar,2019,1,744103,5742,5742
Andaman & Nicobar,2019,1,744101,5156,5156
Andaman & Nicobar,2019,1,744102,3925,3925
Andaman & Nicobar,2019,1,744105,3553,3553
Andaman & Nicobar,2019,1,744104,2833,2833
Andaman & Nicobar,2019,1,744211,1511,1511
Andaman & Nicobar,2019,1,744202,1112,1112
Andaman & Nicobar,2019,1,744107,1029,1029
Andaman & Nicobar,2019,1,744301,920,920
Andaman & Nicobar,2019,1,744112,802,802
Andaman & Nicobar,2019,2,744104,6142,6142
Andaman & Nicobar,2019,2,744103,5847,5847
Andaman & Nicobar,2019,2,744101,4863,4863
Andaman & Nicobar,2019,2,744102,4120,4120
Andaman & Nicobar,2019,2,744105,3500,3500
Andaman & Nicobar,2019,2,744202,1153,1153
Andaman & Nicobar,2019,2,744107,1124,1124
Andaman & Nicobar,2019,2,744211,1047,1047
Andaman & Nicobar,2019,2,744301,1007,1007
Andaman & Nicobar,2019,2,744112,763,763
Andaman & Nicobar,2019,3,744103,5680,5680
Andaman & Nicobar,2019,3,744101,5606,5606
Andaman & Nicobar,2019,3,744104,4786,4786
Andaman & Nicobar,2019,3,744102,3643,3643
Andaman & Nicobar,2019,3,744105,3512,3512
Andaman & Nicobar,2019,3,744202,1417,1417
Andaman & Nicobar,2019,3,744301,1402,1402
Andaman & Nicobar,2019,3,744211,1118,1118
Andaman & Nicobar,2019,3,744107,914,914
Andaman & Nicobar,2019,3,744112,833,833
Andaman & Nicobar,2019,4,744104,6633,6633
Andaman & Nicobar,2019,4,744101,5282,5282
Andaman & Nicobar,2019,4,744103,4840,4840
Andaman & Nicobar,2019,4,744105,3528,3528
Andaman & Nicobar,2019,4,744102,3237,3237
Andaman & Nicobar,2019,4,744202,1783,1783
Andaman & Nicobar,2019,4,744211,1596,1596
Andaman & Nicobar,2019,4,744301,1549,1549
Andaman & Nicobar,2019,4,744201,886,886
Andaman & Nicobar,2019,4,744107,777,777
Andaman & Nicobar,2020,1,744101,11793,11793
Andaman & Nicobar,2020,1,744103,5870,5870
Andaman & Nicobar,2020,1,744105,4635,4635
Andaman & Nicobar,2020,1,744102,3820,3820
Andaman & Nicobar,2020,1,744211,1837,1837
Andaman & Nicobar,2020,1,744301,1819,1819
Andaman & Nicobar,2020,1,744202,1794,1794
Andaman & Nicobar,2020,1,744104,1302,1302
Andaman & Nicobar,2020,1,744201,1157,1157
Andaman & Nicobar,2020,1,744107,1043,1043
Andaman & Nicobar,2020,2,744101,11868,11868
Andaman & Nicobar,2020,2,744103,10035,10035
Andaman & Nicobar,2020,2,744105,9341,9341
Andaman & Nicobar,2020,2,744102,6012,6012
Andaman & Nicobar,2020,2,744202,3722,3722
Andaman & Nicobar,2020,2,744107,2555,2555
Andaman & Nicobar,2020,2,744301,2275,2275
Andaman & Nicobar,2020,2,744211,2045,2045
Andaman & Nicobar,2020,2,744205,1847,1847
Andaman & Nicobar,2020,2,744104,1840,1840
Andaman & Nicobar,2020,3,744101,24386,24386
Andaman & Nicobar,2020,3,744103,21272,21272
Andaman & Nicobar,2020,3,744105,17166,17166
Andaman & Nicobar,2020,3,744102,13934,13934
Andaman & Nicobar,2020,3,744202,5779,5779
Andaman & Nicobar,2020,3,744107,4753,4753
Andaman & Nicobar,2020,3,744104,3468,3468
Andaman & Nicobar,2020,3,744112,3422,3422
Andaman & Nicobar,2020,3,744301,3071,3071
Andaman & Nicobar,2020,3,744205,2991,2991
Andaman & Nicobar,2020,4,744103,46884,46884
Andaman & Nicobar,2020,4,744101,40392,40392
Andaman & Nicobar,2020,4,744105,34410,34410
Andaman & Nicobar,2020,4,744102,26694,26694
Andaman & Nicobar,2020,4,744202,10949,10949
Andaman & Nicobar,2020,4,744107,9743,9743
Andaman & Nicobar,2020,4,744104,7654,7654
Andaman & Nicobar,2020,4,744112,7016,7016
Andaman & Nicobar,2020,4,744205,5118,5118
Andaman & Nicobar,2020,4,744201,5011,5011
Andaman & Nicobar,2021,1,744101,55726,55726
Andaman & Nicobar,2021,1,744103,47328,47328
Andaman & Nicobar,2021,1,744105,35467,35467
Andaman & Nicobar,2021,1,744102,23957,23957
Andaman & Nicobar,2021,1,744211,10648,10648
Andaman & Nicobar,2021,1,744202,10597,10597
Andaman & Nicobar,2021,1,744107,8848,8848
Andaman & Nicobar,2021,1,744104,8799,8799
Andaman & Nicobar,2021,1,744112,7113,7113
Andaman & Nicobar,2021,1,744301,5630,5630
Andaman & Nicobar,2021,2,744101,73334,73334
Andaman & Nicobar,2021,2,744103,66321,66321
Andaman & Nicobar,2021,2,744105,52645,52645
Andaman & Nicobar,2021,2,744102,34289,34289
Andaman & Nicobar,2021,2,744202,16476,16476
Andaman & Nicobar,2021,2,744107,14524,14524
Andaman & Nicobar,2021,2,744104,11278,11278
Andaman & Nicobar,2021,2,744211,10182,10182
Andaman & Nicobar,2021,2,744112,9635,9635
Andaman & Nicobar,2021,2,744301,8463,8463
Andaman & Nicobar,2021,3,744101,116324,116324
Andaman & Nicobar,2021,3,744103,84790,84790
Andaman & Nicobar,2021,3,744105,67257,67257
Andaman & Nicobar,2021,3,744102,43850,43850
Andaman & Nicobar,2021,3,744202,19088,19088
Andaman & Nicobar,2021,3,744107,16203,16203
Andaman & Nicobar,2021,3,744104,14657,14657
Andaman & Nicobar,2021,3,744112,11565,11565
Andaman & Nicobar,2021,3,744301,11553,11553
Andaman & Nicobar,2021,3,744211,9655,9655
Andaman & Nicobar,2021,4,744101,165719,165719
Andaman & Nicobar,2021,4,744103,121613,121613
Andaman & Nicobar,2021,4,744105,95028,95028
Andaman & Nicobar,2021,4,744102,58258,58258
Andaman & Nicobar,2021,4,744211,27938,27938
Andaman & Nicobar,2021,4,744104,25662,25662
Andaman & Nicobar,2021,4,744202,21913,21913
Andaman & Nicobar,2021,4,744107,21397,21397
Andaman & Nicobar,2021,4,744112,18915,18915
Andaman & Nicobar,2021,4,744301,14553,14553
Andaman & Nicobar,2022,1,744101,209941,209941
Andaman & Nicobar,2022,1,744103,157230,157230
Andaman & Nicobar,2022,1,744105,122716,122716
Andaman & Nicobar,2022,1,744102,74883,74883
Andaman & Nicobar,2022,1,744104,32471,32471
Andaman & Nicobar,2022,1,744211,30272,30272
Andaman & Nicobar,2022,1,744107,25379,25379
Andaman & Nicobar,2022,1,744202,24022,24022
Andaman & Nicobar,2022,1,744112,23471,23471
Andaman & Nicobar,2022,1,744301,17630,17630
Andaman & Nicobar,2022,2,744101,252722,252722
Andaman & Nicobar,2022,2,744103,230746,230746
Andaman & Nicobar,2022,2,744105,176252,176252
Andaman & Nicobar,2022,2,744102,101551,101551
Andaman & Nicobar,2022,2,744104,47069,47069
Andaman & Nicobar,2022,2,744211,40245,40245
Andaman & Nicobar,2022,2,744107,36402,36402
Andaman & Nicobar,2022,2,744112,32548,32548
Andaman & Nicobar,2022,2,744202,27750,27750
Andaman & Nicobar,2022,2,744301,26170,26170
Andaman & Nicobar,2022,3,744104,497273,497273
Andaman & Nicobar,2022,3,744103,259994,259994
Andaman & Nicobar,2022,3,744101,213864,213864
Andaman & Nicobar,2022,3,744105,208055,208055
Andaman & Nicobar,2022,3,744102,114416,114416
Andaman & Nicobar,2022,3,744107,40466,40466
Andaman & Nicobar,2022,3,744112,38350,38350
Andaman & Nicobar,2022,3,744211,37918,37918
Andaman & Nicobar,2022,3,744202,29918,29918
Andaman & Nicobar,2022,3,744301,27668,27668
Andaman & Nicobar,2022,4,744104,684366,684366
Andaman & Nicobar,2022,4,744103,304600,304600
Andaman & Nicobar,2022,4,744105,258097,258097
Andaman & Nicobar,2022,4,744101,243494,243494
Andaman & Nicobar,2022,4,744102,134923,134923
Andaman & Nicobar,2022,4,744211,56491,56491
Andaman & Nicobar,2022,4,744107,54192,54192
Andaman & Nicobar,2022,4,744112,46364,46364
Andaman & Nicobar,2022,4,744202,34689,34689
Andaman & Nicobar,2022,4,744301,33669,33669
Andhra Pradesh,2018,1,517501,110496,110496
Andhra Pradesh,2018,1,520001,96883,96883
Andhra Pradesh,2018,1,515001,92754,92754
Andhra Pradesh,2018,1,517507,88132,88132
Andhra Pradesh,2018,1,516001,84644,84644
Andhra Pradesh,2018,1,518502,82421,82421
Andhra Pradesh,2018,1,530016,81891,81891
Andhra Pradesh,2018,1,520010,69581,69581
Andhra Pradesh,2018,1,516360,68340,68340
Andhra Pradesh,2018,1,518501,68193,68193
Andhra Pradesh,2018,2,517501,165506,165506
Andhra Pradesh,2018,2,518502,140893,140893
Andhra Pradesh,2018,2,515001,129798,129798
Andhra Pradesh,2018,2,517507,127731,127731
Andhra Pradesh,2018,2,520001,123176,123176
Andhra Pradesh,2018,2,516001,114806,114806
Andhra Pradesh,2018,2,530016,111874,111874
Andhra Pradesh,2018,2,520010,100630,100630
Andhra Pradesh,2018,2,516360,96619,96619
Andhra Pradesh,2018,2,518501,93442,93442
Andhra Pradesh,2018,3,518502,1300146,1300146
Andhra Pradesh,2018,3,533437,421968,421968
Andhra Pradesh,2018,3,518501,296154,296154
Andhra Pradesh,2018,3,517501,295403,295403
Andhra Pradesh,2018,3,515001,276595,276595
Andhra Pradesh,2018,3,530016,234494,234494
Andhra Pradesh,2018,3,517507,233347,233347
Andhra Pradesh,2018,3,516259,220165,220165
Andhra Pradesh,2018,3,520011,213275,213275
Andhra Pradesh,2018,3,520001,206435,206435
Andhra Pradesh,2018,4,518502,441662,441662
Andhra Pradesh,2018,4,517501,423357,423357
Andhra Pradesh,2018,4,530016,367619,367619
Andhra Pradesh,2018,4,515001,355695,355695
Andhra Pradesh,2018,4,517507,318300,318300
Andhra Pradesh,2018,4,530003,277131,277131
Andhra Pradesh,2018,4,516001,269798,269798
Andhra Pradesh,2018,4,520010,250261,250261
Andhra Pradesh,2018,4,530017,248725,248725
Andhra Pradesh,2018,4,518501,248520,248520
Andhra Pradesh,2019,1,530001,950821,950821
Andhra Pradesh,2019,1,517501,922416,922416
Andhra Pradesh,2019,1,520001,814616,814616
Andhra Pradesh,2019,1,530016,684611,684611
Andhra Pradesh,2019,1,517507,671661,671661
Andhra Pradesh,2019,1,515001,609682,609682
Andhra Pradesh,2019,1,518502,545426,545426
Andhra Pradesh,2019,1,530003,527667,527667
Andhra Pradesh,2019,1,530017,472914,472914
Andhra Pradesh,2019,1,520010,460133,460133
Andhra Pradesh,2019,2,530001,2602865,2602865
Andhra Pradesh,2019,2,520001,1828617,1828617
Andhra Pradesh,2019,2,517501,949187,949187
Andhra Pradesh,2019,2,522001,839909,839909
Andhra Pradesh,2019,2,530016,793798,793798
Andhra Pradesh,2019,2,517507,760335,760335
Andhra Pradesh,2019,2,515001,567306,567306
Andhra Pradesh,2019,2,530003,520142,520142
Andhra Pradesh,2019,2,520010,490697,490697
Andhra Pradesh,2019,2,530017,480905,480905
Andhra Pradesh,2019,3,530001,2944756,2944756
Andhra Pradesh,2019,3,520001,1905190,1905190
Andhra Pradesh,2019,3,517501,1434209,1434209
Andhra Pradesh,2019,3,530016,1196020,1196020
Andhra Pradesh,2019,3,517507,1060513,1060513
Andhra Pradesh,2019,3,522001,1003916,1003916
Andhra Pradesh,2019,3,515001,868052,868052
Andhra Pradesh,2019,3,530003,858005,858005
Andhra Pradesh,2019,3,530017,799271,799271
Andhra Pradesh,2019,3,530026,711726,711726
Andhra Pradesh,2019,4,530001,4185063,4185063
Andhra Pradesh,2019,4,520001,2544877,2544877
Andhra Pradesh,2019,4,517501,1920211,1920211
Andhra Pradesh,2019,4,530016,1591033,1591033
Andhra Pradesh,2019,4,530026,1438154,1438154
Andhra Pradesh,2019,4,517507,1406768,1406768
Andhra Pradesh,2019,4,522001,1324202,1324202
Andhra Pradesh,2019,4,515001,1202983,1202983
Andhra Pradesh,2019,4,530003,1131832,1131832
Andhra Pradesh,2019,4,530017,1084796,1084796
Andhra Pradesh,2020,1,530026,6695271,6695271
Andhra Pradesh,2020,1,517501,2196548,2196548
Andhra Pradesh,2020,1,530016,1661816,1661816
Andhra Pradesh,2020,1,517507,1554974,1554974
Andhra Pradesh,2020,1,515001,1346804,1346804
Andhra Pradesh,2020,1,530003,1159480,1159480
Andhra Pradesh,2020,1,524002,1125194,1125194
Andhra Pradesh,2020,1,530017,1104748,1104748
Andhra Pradesh,2020,1,520010,1098395,1098395
Andhra Pradesh,2020,1,522001,1058410,1058410
Andhra Pradesh,2020,2,530026,4994637,4994637
Andhra Pradesh,2020,2,517501,1708935,1708935
Andhra Pradesh,2020,2,517507,1575118,1575118
Andhra Pradesh,2020,2,524002,1553283,1553283
Andhra Pradesh,2020,2,530016,1067022,1067022
Andhra Pradesh,2020,2,516001,1066066,1066066
Andhra Pradesh,2020,2,515001,1026587,1026587
Andhra Pradesh,2020,2,518002,979822,979822
Andhra Pradesh,2020,2,522001,963666,963666
Andhra Pradesh,2020,2,520002,956641,956641
